"Title","Body","Labels","Type","Priority","Epic","Estimate"
"Retry backoff DLQ alerts","Add resilience and operational alerts

Epic: EP4
Estimate: 12h","mvp,type/task,priority/highest,epic/ep4","Task","Highest","EP4","12h"
"Nightly reconciliation job","Verify feed consistency every night

Epic: EP4
Estimate: 10h","mvp,type/task,priority/high,epic/ep4","Task","High","EP4","10h"
"Cost profile model","Create DB model for port broker customs defaults

Epic: EP5
Estimate: 10h","mvp,type/story,priority/highest,epic/ep5","Story","Highest","EP5","10h"
"Calculator engine v1","Compute landed cost components

Epic: EP5
Estimate: 16h","mvp,type/story,priority/highest,epic/ep5","Story","Highest","EP5","16h"
"Calculator UI + presets","Build calculator forms and presets

Epic: EP5
Estimate: 14h","mvp,type/story,priority/highest,epic/ep5","Story","Highest","EP5","14h"
"UA/EU customs templates v1","Add first customs formulas templates

Epic: EP5
Estimate: 12h","mvp,type/story,priority/highest,epic/ep5","Story","Highest","EP5","12h"
"Low/base/high scenarios","Expose scenario-based outputs

Epic: EP5
Estimate: 10h","mvp,type/story,priority/highest,epic/ep5","Story","Highest","EP5","10h"
"MaxBid algorithm + explainability","Compute max bid and explain factors

Epic: EP6
Estimate: 14h","mvp,type/story,priority/highest,epic/ep6","Story","Highest","EP6","14h"
"Advisor calculate API","Build POST /advisor/calculate endpoint

Epic: EP6
Estimate: 10h","mvp,type/story,priority/highest,epic/ep6","Story","Highest","EP6","10h"
"MaxBid UI block","Show recommended max bid with scenario tabs

Epic: EP6
Estimate: 12h","mvp,type/story,priority/highest,epic/ep6","Story","Highest","EP6","12h"
"Assumptions versioning","Store assumptions and version metadata

Epic: EP6
Estimate: 8h","mvp,type/task,priority/high,epic/ep6","Task","High","EP6","8h"
"PDF report generation","Generate client-facing PDF report

Epic: EP7
Estimate: 14h","mvp,type/story,priority/high,epic/ep7","Story","High","EP7","14h"
"Share link with token","Secure shareable report links

Epic: EP7
Estimate: 10h","mvp,type/story,priority/high,epic/ep7","Story","High","EP7","10h"
"Check history and notes","Broker workspace history and notes

Epic: EP7
Estimate: 12h","mvp,type/story,priority/high,epic/ep7","Story","High","EP7","12h"
"Email/webhook report delivery","Send reports via email or webhook

Epic: EP7
Estimate: 8h","mvp,type/task,priority/medium,epic/ep7","Task","Medium","EP7","8h"
"Test plan + smoke e2e","Define and run smoke end-to-end suite

Epic: EP8
Estimate: 14h","mvp,type/task,priority/highest,epic/ep8","Task","Highest","EP8","14h"
"Search performance optimization","Tune latency for VIN search and card

Epic: EP8
Estimate: 12h","mvp,type/task,priority/highest,epic/ep8","Task","Highest","EP8","12h"
"Security checklist and rate limits","Harden API and add rate limiting

Epic: EP8
Estimate: 12h","mvp,type/task,priority/highest,epic/ep8","Task","Highest","EP8","12h"
"Product analytics funnel","Track key conversion funnel events

Epic: EP8
Estimate: 8h","mvp,type/task,priority/high,epic/ep8","Task","High","EP8","8h"
"Production deploy + rollback runbook","Create release and rollback steps

Epic: EP8
Estimate: 10h","mvp,type/task,priority/highest,epic/ep8","Task","Highest","EP8","10h"
"UAT bugfix buffer","Allocate final sprint bugfix capacity

Epic: EP8
Estimate: 20h","mvp,type/task,priority/highest,epic/ep8","Task","Highest","EP8","20h"
